BindingDB Reactant_set_id	Ligand SMILES	Ligand InChI
49	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccncc2)C(=O)N(CCCCCNC(=O)c2ccncc2)[C@@H]1Cc1ccccc1	InChI=1S/C41H50N6O5/c48-37-35(29-31-13-5-1-6-14-31)46(27-11-3-9-21-44-39(50)33-17-23-42-24-18-33)41(52)47(36(38(37)49)30-32-15-7-2-8-16-32)28-12-4-10-22-45-40(51)34-19-25-43-26-20-34/h1-2,5-8,13-20,23-26,35-38,48-49H,3-4,9-12,21-22,27-30H2,(H,44,50)(H,45,51)/t35-,36-,37+,38+/m1/s1
50	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccc(F)cc2)C(=O)N(CCCCCNC(=O)c2ccc(F)cc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H50F2N4O5/c44-35-21-17-33(18-22-35)41(52)46-25-9-3-11-27-48-37(29-31-13-5-1-6-14-31)39(50)40(51)38(30-32-15-7-2-8-16-32)49(43(48)54)28-12-4-10-26-47-42(53)34-19-23-36(45)24-20-34/h1-2,5-8,13-24,37-40,50-51H,3-4,9-12,25-30H2,(H,46,52)(H,47,53)/t37-,38-,39+,40+/m1/s1
51	OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCCl)C1=O	InChI=1S/C31H45ClN2O4/c32-19-11-1-2-12-20-33-27(23-25-15-7-5-8-16-25)29(36)30(37)28(24-26-17-9-6-10-18-26)34(31(33)38)21-13-3-4-14-22-35/h5-10,15-18,27-30,35-37H,1-4,11-14,19-24H2/t27-,28-,29+,30+/m1/s1
52	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cc(F)cc(F)c2)C(=O)N(CCCCCNC(=O)c2cc(F)cc(F)c2)[C@@H]1Cc1ccccc1	InChI=1S/C43H48F4N4O5/c44-33-23-31(24-34(45)27-33)41(54)48-17-9-3-11-19-50-37(21-29-13-5-1-6-14-29)39(52)40(53)38(22-30-15-7-2-8-16-30)51(43(50)56)20-12-4-10-18-49-42(55)32-25-35(46)28-36(47)26-32/h1-2,5-8,13-16,23-28,37-40,52-53H,3-4,9-12,17-22H2,(H,48,54)(H,49,55)/t37-,38-,39+,40+/m1/s1
53	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(Br)Br)C(=O)N(CCCCCC(Br)Br)[C@@H]1Cc1ccccc1	InChI=1S/C31H42Br4N2O3/c32-27(33)17-9-3-11-19-36-25(21-23-13-5-1-6-14-23)29(38)30(39)26(22-24-15-7-2-8-16-24)37(31(36)40)20-12-4-10-18-28(34)35/h1-2,5-8,13-16,25-30,38-39H,3-4,9-12,17-22H2/t25-,26-,29+,30+/m1/s1
54	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2ccccc2O)C(=O)N(C\C=C\c2ccccc2O)[C@@H]1Cc1ccccc1	InChI=1S/C37H38N2O5/c40-33-21-9-7-17-29(33)19-11-23-38-31(25-27-13-3-1-4-14-27)35(42)36(43)32(26-28-15-5-2-6-16-28)39(37(38)44)24-12-20-30-18-8-10-22-34(30)41/h1-22,31-32,35-36,40-43H,23-26H2/b19-11+,20-12+/t31-,32-,35+,36+/m1/s1
55	CSCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O4S/c1-37-21-13-5-11-19-32-27(23-25-16-8-3-9-17-25)29(35)28(34)26(22-24-14-6-2-7-15-24)31(30(32)36)18-10-4-12-20-33/h2-3,6-9,14-17,26-29,33-35H,4-5,10-13,18-23H2,1H3/t26-,27-,28+,29+/m1/s1
56	COC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(=O)OC)C1=O	InChI=1S/C33H46N2O7/c1-41-29(36)19-11-5-13-21-34-27(23-25-15-7-3-8-16-25)31(38)32(39)28(24-26-17-9-4-10-18-26)35(33(34)40)22-14-6-12-20-30(37)42-2/h3-4,7-10,15-18,27-28,31-32,38-39H,5-6,11-14,19-24H2,1-2H3/t27-,28-,31+,32+/m1/s1
57	CC(C)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)C)C1=O	InChI=1S/C33H50N2O3/c1-25(2)15-11-13-21-34-29(23-27-17-7-5-8-18-27)31(36)32(37)30(24-28-19-9-6-10-20-28)35(33(34)38)22-14-12-16-26(3)4/h5-10,17-20,25-26,29-32,36-37H,11-16,21-24H2,1-4H3/t29-,30-,31+,32+/m1/s1
58	CNS(=O)(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O	InChI=1S/C32H49N3O7S/c1-33-43(40,41)42-23-15-5-3-13-21-35-29(25-27-18-10-7-11-19-27)31(38)30(37)28(24-26-16-8-6-9-17-26)34(32(35)39)20-12-2-4-14-22-36/h6-11,16-19,28-31,33,36-38H,2-5,12-15,20-25H2,1H3/t28-,29-,30+,31+/m1/s1
